%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1576563423117474000,137,1576563423117474000,base_link,9.50174785279,0.0,0.0,0.00280411832035,0.00555353490433,0.00133402982335
1576563423217655000,138,1576563423217655000,base_link,9.86193806143,0.0,0.0,-0.00173142953383,0.0112269863104,-0.00253940522448
1576563423317891000,139,1576563423317891000,base_link,9.74396814441,0.0,0.0,0.0171569080261,0.0116607156596,-0.00218439719917
1576563423418047000,140,1576563423418047000,base_link,10.7743870652,0.0,0.0,0.00927238088302,0.00962696495392,0.0113391102838
1576563423518256000,141,1576563423518256000,base_link,10.3275117539,0.0,0.0,0.0133105022042,0.00542994883289,-0.0167845880774
1576563423618432000,142,1576563423618432000,base_link,11.4658113192,0.0,0.0,0.00892643657584,0.00628256199013,0.0284446633029
1576563423718633000,143,1576563423718633000,base_link,10.860668042,0.0,0.0,-0.00337296686168,0.00442071154859,-0.0020882922436
1576563423818851000,144,1576563423818851000,base_link,11.9414289037,0.0,0.0,-0.00525632153261,0.0119681659142,-0.00132935556459
1576563423919051000,145,1576563423919051000,base_link,11.2479588334,0.0,0.0,-0.00330330167588,0.018858474606,0.00512692432691
1576563424019244000,146,1576563424019244000,base_link,12.7281596154,0.0,0.0,-0.0102503472331,0.0149686125815,0.0232194487988
1576563424119448000,147,1576563424119448000,base_link,11.783385515,0.0,0.0,0.000978057768893,-0.00987461914887,-0.0109223957165
1576563424219633000,148,1576563424219633000,base_link,12.1065665721,0.0,0.0,-0.0114821772297,-0.0142989277029,-0.0111455075205
1576563424319806000,149,1576563424319806000,base_link,13.7147668515,0.0,0.0,0.00579834069804,0.00319480002178,0.0367506470486
1576563424420011000,150,1576563424420011000,base_link,12.2910255449,0.0,0.0,-0.00964317228023,0.0411988991313,-0.00669426927135
1576563424520227000,151,1576563424520227000,base_link,13.0475364225,0.0,0.0,-0.00986080714257,0.0513018858757,-0.00811224096813
1576563424620416000,152,1576563424620416000,base_link,12.8999788376,0.0,0.0,0.00131774909182,0.0484298692913,-0.0167428849926
1576563424720606000,153,1576563424720606000,base_link,13.4627198483,0.0,0.0,0.00354575246285,0.0392595227684,0.00455574239647
1576563424820802000,154,1576563424820802000,base_link,13.7196279747,0.0,0.0,0.0152496535368,0.00495828220315,0.00424654494135
1576563424921012000,155,1576563424921012000,base_link,12.8752342146,0.0,0.0,0.00330667868459,-0.00329193825276,-0.0162765775625
1576563425021199000,156,1576563425021199000,base_link,13.2696372918,0.0,0.0,0.00348132474746,0.00969098381345,0.00397480331082
1576563425121399000,157,1576563425121399000,base_link,13.3139557606,0.0,0.0,-0.000446186025507,0.0168720857016,0.00535661861064
1576563425221576000,158,1576563425221576000,base_link,13.3439033978,0.0,0.0,-0.00210564733243,-0.00584339792748,-0.00758110897144
1576563425321801000,159,1576563425321801000,base_link,12.9158980096,0.0,0.0,-0.00445358186405,-0.00752776053489,0.024915624202
1576563425421990000,160,1576563425421990000,base_link,12.9986102643,0.0,0.0,0.0062653477965,0.0101749673507,-0.00882793306057
1576563425522170000,161,1576563425522170000,base_link,13.3181046892,0.0,0.0,-0.0085142939236,0.00490127055947,0.00163654139937
1576563425622360000,162,1576563425622360000,base_link,12.9074119834,0.0,0.0,-0.00296483708359,-0.00449162190874,0.0181432034883
1576563425722575000,163,1576563425722575000,base_link,13.0161234227,0.0,0.0,0.00749673686983,-0.00433011427574,0.000902854322013
1576563425822751000,164,1576563425822751000,base_link,12.3864483852,0.0,0.0,-0.00504364276396,0.000950950733961,0.0185919681909
1576563425922997000,165,1576563425922997000,base_link,13.0981971764,0.0,0.0,-0.00377231416598,0.00798700773451,-0.0188131840916
1576563426023189000,166,1576563426023189000,base_link,12.8509873079,0.0,0.0,-0.00273883818618,-0.000149810049473,0.0195013582936
1576563426123338000,167,1576563426123338000,base_link,12.9737636821,0.0,0.0,-0.0158305409599,-0.00613658606639,-0.00511320328658
1576563426223567000,168,1576563426223567000,base_link,12.176130842,0.0,0.0,0.0061403677502,-0.00721963633768,0.0187752205902
1576563426323738000,169,1576563426323738000,base_link,12.9803923391,0.0,0.0,-0.00671423255286,-0.00673094775344,-0.0269450808996
