%time,field.header.seq,field.header.stamp,field.header.frame_id,field.enabled,field.override_active,field.command_output_fault,field.input_output_fault,field.output_reported_fault,field.pacmod_fault,field.vehicle_fault,field.manual_input,field.command,field.output
1576563412734132656,367784,1576563412734132656,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412767156247,367785,1576563412767156247,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412801428374,367786,1576563412801428374,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412834614357,367787,1576563412834614357,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412867335239,367788,1576563412867335239,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412901581661,367789,1576563412901581661,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412934890367,367790,1576563412934890367,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563412967058474,367791,1576563412967058474,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413002149809,367792,1576563413002149809,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413035377085,367793,1576563413035377085,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413068082292,367794,1576563413068082292,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413102720046,367795,1576563413102720046,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413135665551,367796,1576563413135665551,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413167915395,367797,1576563413167915395,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413202283432,367798,1576563413202283432,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413236576549,367799,1576563413236576549,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413269246831,367800,1576563413269246831,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413303478432,367801,1576563413303478432,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413336573142,367802,1576563413336573142,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413369000981,367803,1576563413369000981,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413404190792,367804,1576563413404190792,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413437600666,367805,1576563413437600666,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413470327128,367806,1576563413470327128,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413504696946,367807,1576563413504696946,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413537502950,367808,1576563413537502950,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413569879266,367809,1576563413569879266,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413604932337,367810,1576563413604932337,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413638051824,367811,1576563413638051824,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413670211192,367812,1576563413670211192,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413705527161,367813,1576563413705527161,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413738278496,367814,1576563413738278496,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413770517063,367815,1576563413770517063,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413805581616,367816,1576563413805581616,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413839744798,367817,1576563413839744798,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413870908025,367818,1576563413870908025,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413906847211,367819,1576563413906847211,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413939015811,367820,1576563413939015811,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563413971359748,367821,1576563413971359748,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414005491934,367822,1576563414005491934,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414040286345,367823,1576563414040286345,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414071966022,367824,1576563414071966022,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414106709607,367825,1576563414106709607,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414139824093,367826,1576563414139824093,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414172166439,367827,1576563414172166439,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414207083909,367828,1576563414207083909,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414241171316,367829,1576563414241171316,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414272493191,367830,1576563414272493191,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414307650455,367831,1576563414307650455,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414339999287,367832,1576563414339999287,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414373232177,367833,1576563414373232177,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414408024254,367834,1576563414408024254,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414442133842,367835,1576563414442133842,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414473563084,367836,1576563414473563084,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414508342620,367837,1576563414508342620,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414541648701,367838,1576563414541648701,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414573946564,367839,1576563414573946564,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414608841735,367840,1576563414608841735,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414641985075,367841,1576563414641985075,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414674371177,367842,1576563414674371177,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414710174589,367843,1576563414710174589,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414742381838,367844,1576563414742381838,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414774703040,367845,1576563414774703040,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414809856941,367846,1576563414809856941,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414842830760,367847,1576563414842830760,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414875014841,367848,1576563414875014841,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414909095451,367849,1576563414909095451,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414943168581,367850,1576563414943168581,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563414976274528,367851,1576563414976274528,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415010592795,367852,1576563415010592795,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415043554368,367853,1576563415043554368,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415075856057,367854,1576563415075856057,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415111841370,367855,1576563415111841370,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415143101561,367856,1576563415143101561,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415177701572,367857,1576563415177701572,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415211733265,367858,1576563415211733265,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415245437326,367859,1576563415245437326,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415277596179,367860,1576563415277596179,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415311985554,367861,1576563415311985554,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415345126691,367862,1576563415345126691,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415377910337,367863,1576563415377910337,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415412182149,367864,1576563415412182149,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415446126354,367865,1576563415446126354,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415478519779,367866,1576563415478519779,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415512584775,367867,1576563415512584775,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
1576563415546583247,367868,1576563415546583247,pacmod,0,0,0,0,0,0,0,0.49,0.0,0.49
